vowel,measurement,duration,f0,f1,f2,f1-20-50,f2-20-50,f1-50-80,f2-50-80,f3,f3-20-50,f3-50-80,f4
ae,mean,309.9208633093525,190.53237410071944,662.5323741007194,2257.438848920863,57.63768115942029,-137.0431654676259,48.45652173913044,-197.22302158273382,2945.0522388059703,-64.75,-11.279411764705882,4111.073684210526
ae,std,54.736262985206004,49.7899620287471,86.65488500830462,278.4420199803926,63.83992004791695,111.44214039010565,75.14393141486151,116.2136486471242,340.47504822693986,93.55612276094284,124.34662719097624,467.3922108691623
ah,mean,298.66906474820144,190.73381294964028,891.2517985611511,1506.8308823529412,-2.204379562043796,29.607407407407408,-69.67391304347827,165.56204379562044,2770.640287769784,-6.463768115942029,29.971014492753625,4110.227272727273
ah,std,55.74135910571828,50.32721356313859,139.0321681904199,203.75177931908237,45.28742573523633,46.04620807909864,64.55277169853711,97.0788573517839,260.198513236653,71.40608095530455,98.72175376828932,465.11972376799554
aw,mean,316.2014388489209,191.18705035971223,766.8992805755396,1170.8014705882354,13.840579710144928,54.84848484848485,-10.55072463768116,291.46268656716416,2766.782608695652,2.9708029197080292,-5.753623188405797,3830.6311475409834
aw,std,58.477958690484165,51.064153238606444,109.15076333298396,167.84165418688627,47.25267362680473,68.52045534535377,52.84514874472123,131.8905955886266,282.397364686005,77.75865165146956,119.60549958238029,321.52822074391656
eh,mean,230.4388489208633,190.74820143884892,686.2158273381295,2050.05035971223,7.927007299270073,-40.96376811594203,-45.905797101449274,0.11594202898550725,2953.834532374101,-6.272058823529412,46.47482014388489,4217.763157894737
eh,std,53.17138234833932,49.233417545809246,100.37668353963599,237.12523855309755,41.63214560862855,71.83812413026196,46.49776177894572,64.04946825331862,331.6638802387097,64.90122210756407,73.27481836390055,516.0459027357728
ei,mean,301.1151079136691,196.46762589928056,526.0359712230215,2425.5035971223024,-50.97841726618705,97.30935251798562,-32.044117647058826,66.34532374100719,3021.537878787879,7.480314960629921,29.00793650793651,4116.380530973452
ei,std,55.43653823743817,51.938023686270434,66.24224239331075,281.7700571298774,42.46377510368226,63.83892149889375,39.73420286305779,71.2555147157971,322.05823408345736,74.31851544859784,196.82594421966894,473.0014746480048
er,mean,298.52517985611513,195.98561151079136,528.7122302158274,1564.4892086330935,-20.695652173913043,21.67391304347826,-22.985401459854014,85.35507246376811,1938.7903225806451,-33.47107438016529,60.7008547008547,3681.9444444444443
er,std,52.5147914668751,51.5658391204332,63.23898312838742,179.43963001187393,34.711566943126215,58.42152708306311,32.247216911874084,66.92216988484607,234.5390563181442,72.9656405474426,81.4768872850617,413.0246217641528
ih,mean,227.568345323741,201.0503597122302,476.0719424460432,2322.5827338129498,34.38405797101449,-92.97122302158273,11.522058823529411,-88.10071942446044,3053.5827338129498,-29.652173913043477,20.56115107913669,4194.459016393443
ih,std,54.0390280439823,50.67079867142518,48.68081924550935,257.75142504349174,38.68945901153614,69.0670555669725,31.343675342826973,61.524668382904046,339.4812780097674,76.74998486275761,58.416775346132255,480.90693260603
iy,mean,283.3021582733813,204.8273381294964,411.568345323741,2725.359712230216,-4.511111111111111,19.753623188405797,-1.8,-18.82608695652174,3348.0236220472443,-19.23015873015873,-36.45161290322581,4227.040322580645
iy,std,53.98129901015601,52.85488863507968,61.393183878655854,346.4201924596805,23.462141819651336,58.64617703717271,24.806152164033527,60.132934023322925,370.30154693502345,78.65810715120041,136.75315381388359,488.2798047522836
oa,mean,301.8561151079137,196.0863309352518,551.1510791366907,1027.948905109489,-58.92805755395683,-76.125,-47.11678832116788,14.192592592592593,2767.4892086330933,24.02158273381295,-21.59124087591241,3857.483333333333
oa,std,57.25866604022639,51.8497389064541,76.41771929713993,157.16903918508652,37.06491297608488,68.33561614431767,43.6502465596887,85.67021145249672,287.22986976459333,65.6686107715126,82.55257601364977,405.9561343982322
oo,mean,230.42446043165467,202.70503597122303,519.884892086331,1286.0071942446043,30.00729927007299,123.14388489208633,2.1911764705882355,327.9424460431655,2783.2302158273383,-6.460431654676259,11.615942028985508,3945.1111111111113
oo,std,54.16441509071189,53.32302177200751,58.690148345000274,215.1045754174212,37.39891413981754,96.91341245134838,29.09631943215963,115.52101367807987,315.7536448987721,69.1858373442304,88.71696751784214,446.313154745371
uh,mean,223.64028776978418,194.5611510791367,707.9208633093525,1379.2826086956522,-8.246268656716419,94.52941176470588,-64.57553956834532,296.0072463768116,2860.9928057553957,1.8613138686131387,20.467625899280577,4015.28
uh,std,47.42369974768855,50.78479281644093,87.41294248772665,184.9334384422251,33.73169742912757,84.66959496430042,51.82926847594929,104.50667383007774,293.7719591401123,77.43602798691664,104.60245414113982,416.88643249690915
uw,mean,274.41007194244605,209.4388489208633,444.6906474820144,1165.891304347826,-9.604477611940299,-50.72794117647059,-5.656488549618321,32.77777777777778,2695.18115942029,2.854014598540146,-4.744525547445256,3954.703125
uw,std,55.27990423494816,53.23899083789631,60.9547359980171,289.3382175366472,23.070307419464594,71.15036551844484,21.681867399494404,97.05116380065581,305.4929548158746,60.84316803899748,64.44666546073948,478.73088015630907
